timestamp_iso;device_label;user_agent;run_id;sample_idx;latency_ms;model_url;input_source;notes
2026-04-03T10:51:01.661Z;iPhone 13 safari;"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1";ping_1775213461662;1;0.1234;/models/model.tflite;ping;manual connectivity check
2026-04-03T10:51:04.041Z;iPhone 13 safari;"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1";ping_1775213464041;1;0.1234;/models/model.tflite;ping;manual connectivity check
2026-04-03T11:01:43.145Z;iphone-safari;"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1";run_1775214100611;1;4.0000;/models/model.tflite;dataset_images;iphone browser tflite test
2026-04-03T11:01:43.150Z;iphone-safari;"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1";run_1775214100611;2;5.0000;/models/model.tflite;dataset_images;iphone browser tflite test
2026-04-03T11:01:43.164Z;iphone-safari;"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1";run_1775214100611;3;3.0000;/models/model.tflite;dataset_images;iphone browser tflite test
2026-04-03T11:01:43.180Z;iphone-safari;"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1";run_1775214100611;4;3.0000;/models/model.tflite;dataset_images;iphone browser tflite test
2026-04-03T11:01:43.197Z;iphone-safari;"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1";run_1775214100611;5;2.0000;/models/model.tflite;dataset_images;iphone browser tflite test
2026-04-03T11:01:43.213Z;iphone-safari;"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1";run_1775214100611;6;3.0000;/models/model.tflite;dataset_images;iphone browser tflite test
2026-04-03T11:01:43.231Z;iphone-safari;"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1";run_1775214100611;7;3.0000;/models/model.tflite;dataset_images;iphone browser tflite test
2026-04-03T11:01:43.247Z;iphone-safari;"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1";run_1775214100611;8;2.0000;/models/model.tflite;dataset_images;iphone browser tflite test
